职位名称,公司名称,位置,工资,职位链接
软件测试,博远减灾科技,武汉·江夏区·纸坊,6-8K,https://www.zhipin.com/job_detail/472428a2cac02d841HJ62tm1FFZX.html?lid=4libl3EPBMj.search.37&securityId=LIcanXys71RoX-H12sqEgfjfl-2433AgnzZ90y1hHWhySDg8tQylyv2Clja_-nY3TEU4du-dW-EIcQvGssP5vZXX2isgovu-4vhbM7MJM32GzCODN-tcXC8pLmpyqdbjMpK8xQ7nIyqJmwCvgAUqixe6&sessionId=
软件测试,安徽子思科技,武汉·江夏区·光谷,8-10K,https://www.zhipin.com/job_detail/dd4747f3f7fa83db1HN92tS8FlpS.html?lid=4libl3EPBMj.search.38&securityId=sTfPRftFiHm8C-u1i3MPWYCd4_bZw2KQrEhzHHlRo_sl5ySjkd_cAoPTxmz71T4l2-H7qb0yLVxpC8qokCvH3RkVKIzs3PlxJLZlXCaYYz8vnEfgappl&sessionId=
软件测试,楚枭智能,武汉·洪山区·光谷,6-7K,https://www.zhipin.com/job_detail/4486d53d6873a8391XN62dW1EFdV.html?lid=4libl3EPBMj.search.39&securityId=Yu-V3CVIsbwky-71W4A4DMnK2eogcAc9cSVZphC8H8-KXxOhoOfezRDqaDxZacV9uPlMyaar5XcpqJ4Mv7suy7tTmiRGY7XgDEM5HMzLjvvYFqggC3Aj&sessionId=
软件测试专员,恒达鸿业智能,武汉·洪山区·光谷,6-7K,https://www.zhipin.com/job_detail/10c26b91529dbdad1Xd839y-FlRS.html?lid=4libl3EPBMj.search.40&securityId=3WQlC0qn4QDEN-f1RVyo4sOaPcsKQ401vas4BAGWMhn_QYR8U7BFqtsgpOzKfrrGR22aEBOKzzTwk8tJPCM24Vts9MOvIvmXAhHD_oAL-G_byKFLkfSz&sessionId=
单元软件测试,岚图汽车,武汉·汉阳区·王家湾,18-35K,https://www.zhipin.com/job_detail/a997ac11cef4718c1HF-3dy5FVpY.html?lid=4libl3EPBMj.search.41&securityId=Bc1l12G47zft8-c1dmPAmGgraVBBNtml1xkqxn4xDj3RU1oM0j8kpnj1YoXkkJyxiubTeXR0KQlIb7Myu1587avJutEiOQDPxzRpS1Q1mhoSxJ-4h7E~&sessionId=
软件测试工程师,湖北普罗格,武汉·硚口区·硚口路,7-12K,https://www.zhipin.com/job_detail/6bc22766eea59be51XNy2tW5FVBY.html?lid=4libl3EPBMj.search.42&securityId=frLU3pKGksmLY-613w-ZFO68jK-Hyg9NizNv-bqbYlZBmAi6cckhRld1f-fwscrrRyO36ACjX_IHBtS77kpSkI4tGiSDnXatwbAvjNg6avqtGELPLfc~&sessionId=
软件测试实习生,小米科技,武汉·洪山区·光谷东,200-300元/天,https://www.zhipin.com/job_detail/7fd2038736a8f0e51Hx_2d-4EFpW.html?lid=4libl3EPBMj.search.43&securityId=GclBnz6xOzfPK-P19j3-HS5Q1UtQ4us1ObIEfvjzeaNWdaXVAi_5yUZnNxrhJlDdvhFQ9jluMH7822MbrbVpR5nzD8VL6WCv9wO0lAl-nggcFIsOyUY~&sessionId=
软件测试工程师,聚芯微电子,武汉·江夏区·光谷东,8-12K·14薪,https://www.zhipin.com/job_detail/67168d583b0b9bda1Hx-0tq4E1RR.html?lid=4libl3EPBMj.search.44&securityId=LGOHwPJ1qn9hT-F1Mi2q2nVf5z0-x3QGwV0krfbBqnik_QEjn0tx8Baunrf2b59ahLFg4FRtw6MB1bASo8u5oINYHQVorb8rPkIPcM9iN1YXtlPBUic~&sessionId=
软件测试工程师,横纵智能,武汉,3-6K,https://www.zhipin.com/job_detail/013ca544606b76b81nV-2dy_GVFQ.html?lid=4libl3EPBMj.search.45&securityId=GSo2lq4NP0I07-X1kxK7R1aVp8KrKzLoQq_4OwmzPI_4Hpcsc5sPKD0c2Yc8KNWee1yB0MFB7_orntGHf0gb4VevSMlqSCeWR8LeWReF9yCwwg4djg~~&sessionId=
软件测试工程师,悠米亚,武汉·洪山区·关山,200-260元/天,https://www.zhipin.com/job_detail/e265aefabfa03a681HN709u5EFNS.html?lid=4libl3EPBMj.search.46&securityId=OF5WETthyQgXo-O1fpSDJiq6hR8dZF-Q9LXZSePMXdYj3RhKCaqhjOnQ2ye8dH98NjULkictbQ61CE8DN_5RYoMw4vxpY3s4fnktUuTkVPR1VzKI8A~~&sessionId=
软件测试工程师,丰图科技,武汉·江夏区·藏龙岛,13-18K·15薪,https://www.zhipin.com/job_detail/050292f198f67c161nF63t6-E1BV.html?lid=4libl3EPBMj.search.47&securityId=zS0XDD5bx0H7m-I1AcFgPEHoXqm2GYYhdGGcxDBAH5nBBov5xY0q_cG9Sav9fQQUpg7Us7-Dhzb3wa1dr3w53ISB-zyaR_I3oaI2P1tU5fHcwKm-nw~~&sessionId=
